"","datetime","lake","depth","unit","variable","observation"
"1",2022-06-02 08:00:00,"peter",0,"MilliGM-PER-L","do_mgl",8.65
"2",2022-06-02 08:00:00,"peter",0.5,"MilliGM-PER-L","do_mgl",8.64
"3",2022-06-02 08:00:00,"peter",1,"MilliGM-PER-L","do_mgl",8.51
"4",2022-06-02 08:00:00,"peter",1.5,"MilliGM-PER-L","do_mgl",9.16
"5",2022-06-02 08:00:00,"peter",2,"MilliGM-PER-L","do_mgl",10.99
"6",2022-06-02 08:00:00,"peter",2.5,"MilliGM-PER-L","do_mgl",12.69
"7",2022-06-02 08:00:00,"peter",3,"MilliGM-PER-L","do_mgl",13.09
"8",2022-06-02 08:00:00,"peter",3.25,"MilliGM-PER-L","do_mgl",13.08
"9",2022-06-02 08:00:00,"peter",3.5,"MilliGM-PER-L","do_mgl",12.8
"10",2022-06-02 08:00:00,"peter",3.75,"MilliGM-PER-L","do_mgl",12.52
"11",2022-06-02 08:00:00,"peter",4,"MilliGM-PER-L","do_mgl",11.4
"12",2022-06-02 08:00:00,"peter",4.25,"MilliGM-PER-L","do_mgl",6.12
"13",2022-06-02 08:00:00,"peter",4.5,"MilliGM-PER-L","do_mgl",2.05
"14",2022-06-02 08:00:00,"peter",4.75,"MilliGM-PER-L","do_mgl",1.55
"15",2022-06-02 08:00:00,"peter",5,"MilliGM-PER-L","do_mgl",1.27
"16",2022-06-02 08:00:00,"peter",5.25,"MilliGM-PER-L","do_mgl",1.1
"17",2022-06-02 08:00:00,"peter",5.5,"MilliGM-PER-L","do_mgl",0.99
"18",2022-06-02 08:00:00,"peter",5.75,"MilliGM-PER-L","do_mgl",0.93
"19",2022-06-02 08:00:00,"peter",6,"MilliGM-PER-L","do_mgl",0.91
"20",2022-06-02 08:00:00,"peter",6.5,"MilliGM-PER-L","do_mgl",0.79
"21",2022-06-02 08:00:00,"peter",7,"MilliGM-PER-L","do_mgl",0.76
"22",2022-06-02 08:00:00,"peter",7.5,"MilliGM-PER-L","do_mgl",0.75
"23",2022-06-02 08:00:00,"peter",8,"MilliGM-PER-L","do_mgl",0.75
"24",2022-06-03 10:00:00,"peter",0,"MilliGM-PER-L","do_mgl",8.29
"25",2022-06-03 10:00:00,"peter",0.5,"MilliGM-PER-L","do_mgl",8.37
"26",2022-06-03 10:00:00,"peter",1,"MilliGM-PER-L","do_mgl",8.33
"27",2022-06-03 10:00:00,"peter",1.5,"MilliGM-PER-L","do_mgl",8.84
"28",2022-06-03 10:00:00,"peter",2,"MilliGM-PER-L","do_mgl",10.52
"29",2022-06-03 10:00:00,"peter",2.5,"MilliGM-PER-L","do_mgl",12.46
"30",2022-06-03 10:00:00,"peter",3,"MilliGM-PER-L","do_mgl",12.89
"31",2022-06-03 10:00:00,"peter",3.25,"MilliGM-PER-L","do_mgl",12.82
"32",2022-06-03 10:00:00,"peter",3.5,"MilliGM-PER-L","do_mgl",12.64
"33",2022-06-03 10:00:00,"peter",3.75,"MilliGM-PER-L","do_mgl",12.09
"34",2022-06-03 10:00:00,"peter",4,"MilliGM-PER-L","do_mgl",6.85
"35",2022-06-03 10:00:00,"peter",4.25,"MilliGM-PER-L","do_mgl",3.22
"36",2022-06-03 10:00:00,"peter",4.5,"MilliGM-PER-L","do_mgl",1.36
"37",2022-06-03 10:00:00,"peter",4.75,"MilliGM-PER-L","do_mgl",1.04
"38",2022-06-03 10:00:00,"peter",5,"MilliGM-PER-L","do_mgl",1
