"","datetime","lake","depth","depth_id","variable","unit","observation"
"1",2022-05-30 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",15.934
"2",2022-05-30 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",43.351
"3",2022-05-30 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",125.903
"4",2022-06-06 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",16.4
"5",2022-06-06 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",33.078
"6",2022-06-06 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",97.586
"7",2022-06-13 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",14.37
"8",2022-06-13 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",53.876
"9",2022-06-13 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",42.734
"10",2022-06-20 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",15.72
"11",2022-06-20 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",21.689
"12",2022-06-20 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",180.016
"13",2022-06-27 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",15.094
"14",2022-06-27 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",30.124
"15",2022-06-27 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",16.892
"16",2022-07-05 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",12.693
"17",2022-07-05 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",25.717
"18",2022-07-05 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",230.151
"19",2022-07-11 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",17.91
"20",2022-07-11 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",23.651
"21",2022-07-11 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",185.708
"22",2022-07-18 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",16.585
"23",2022-07-18 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",23.581
"24",2022-07-18 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",163.845
"25",2022-07-25 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",15.17
"26",2022-07-25 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",18.067
"27",2022-07-25 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",232.797
"28",2022-08-01 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",13.958
"29",2022-08-01 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",18.025
"30",2022-08-01 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",163.969
"31",2022-08-08 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.437
"32",2022-08-08 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",29.295
"33",2022-08-08 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",246.497
"34",2024-05-20 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",14.157
"35",2024-05-20 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.369
"36",2024-05-20 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",153.074
"37",2024-05-27 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",11.213
"38",2024-05-27 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",24.469
"39",2024-05-27 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",140.992
"40",2024-06-03 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",11.744
"41",2024-06-03 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",18.736
"42",2024-06-03 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",156.377
"43",2024-06-10 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",10.441
"44",2024-06-10 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",17.994
"45",2024-06-10 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",171.328
"46",2024-06-17 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.35
"47",2024-06-17 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",20.872
"48",2024-06-17 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",160.613
"49",2024-06-24 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",58.261
"50",2024-06-24 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",18.836
"51",2024-06-24 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",151.512
"52",2024-07-01 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",20.1
"53",2024-07-01 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",17.938
"54",2024-07-01 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",209.252
"55",2024-07-08 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.926
"56",2024-07-08 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.533
"57",2024-07-08 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",207.835
"58",2024-07-15 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.452
"59",2024-07-15 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.346
"60",2024-07-15 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",143.369
"61",2024-07-22 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",28.547
"62",2024-07-22 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",22.642
"63",2024-07-22 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",228.73
"64",2024-07-29 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",21.768
"65",2024-07-29 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",24.198
"66",2024-07-29 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",211.409
"67",2024-08-05 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.166
"68",2024-08-05 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",22.697
"69",2024-08-05 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",171.062
"70",2024-08-12 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",8.612
"71",2024-08-12 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",24.251
"72",2024-08-12 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",184.787
"73",2024-08-19 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",25.402
"74",2024-08-19 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",26.06
"75",2024-08-19 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",265.963
"76",2023-05-30 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",8.434
"77",2023-05-30 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",30.337
"78",2023-06-06 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",10.056
"79",2023-06-06 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",17.428
"80",2023-06-06 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",183.183
"81",2023-06-13 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",7.653
"82",2023-06-13 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",22
"83",2023-06-20 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",6.057
"84",2023-06-20 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.77
"85",2023-06-27 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",7.478
"86",2023-06-27 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",24.997
"87",2023-07-05 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",7.316
"88",2023-07-05 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.882
"89",2023-07-05 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",277.32
"90",2023-07-11 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",6.843
"91",2023-07-11 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",16.731
"92",2023-07-18 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",15.164
"93",2023-07-18 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",12.395
"94",2023-07-25 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",7.697
"95",2023-07-25 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",8.89
"96",2023-08-01 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",7.415
"97",2023-08-01 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",10.918
"98",2023-08-01 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",93.649
"99",2023-08-07 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",6.029
"100",2023-08-07 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",10.501
