"lake","datetime","Depth_m","Water_Temperature_celsius"
"paul",2024-06-03 17:00:00,0.5,20.7013636363636
"paul",2024-06-03 17:00:00,1,20.2852727272727
"paul",2024-06-03 17:00:00,1.5,19.6166363636364
"paul",2024-06-03 17:00:00,2,18.8487272727273
"paul",2024-06-03 17:00:00,2.5,17.3046363636364
"paul",2024-06-03 17:00:00,3,14.9524545454545
"paul",2024-06-03 17:00:00,3.5,12.483
"paul",2024-06-03 17:00:00,4,10.67
"paul",2024-06-03 17:00:00,4.5,9.09079090909091
"paul",2024-06-03 17:00:00,5,7.84564545454545
"paul",2024-06-03 17:00:00,6,6.47054545454545
"paul",2024-06-03 18:00:00,0.5,20.7531666666667
"paul",2024-06-03 18:00:00,1,20.27575
"paul",2024-06-03 18:00:00,1.5,19.6336666666667
"paul",2024-06-03 18:00:00,2,18.91125
"paul",2024-06-03 18:00:00,2.5,17.3555
"paul",2024-06-03 18:00:00,3,14.85375
"paul",2024-06-03 18:00:00,3.5,12.4735833333333
"paul",2024-06-03 18:00:00,4,10.658
"paul",2024-06-03 18:00:00,4.5,9.05376666666667
"paul",2024-06-03 18:00:00,5,7.96098333333333
"paul",2024-06-03 18:00:00,6,6.49880833333333
"paul",2024-06-03 19:00:00,0.5,20.7920833333333
"paul",2024-06-03 19:00:00,1,20.2730833333333
"paul",2024-06-03 19:00:00,1.5,19.6431666666667
"paul",2024-06-03 19:00:00,2,18.86775
"paul",2024-06-03 19:00:00,2.5,17.3526666666667
"paul",2024-06-03 19:00:00,3,14.8713333333333
"paul",2024-06-03 19:00:00,3.5,12.56725
"paul",2024-06-03 19:00:00,4,10.6333333333333
"paul",2024-06-03 19:00:00,4.5,8.98953333333333
"paul",2024-06-03 19:00:00,5,7.95434166666667
"paul",2024-06-03 19:00:00,6,6.46629166666667
"paul",2024-06-03 20:00:00,0.5,20.8143333333333
"paul",2024-06-03 20:00:00,1,20.2719166666667
"paul",2024-06-03 20:00:00,1.5,19.6125
"paul",2024-06-03 20:00:00,2,18.8444166666667
"paul",2024-06-03 20:00:00,2.5,17.3548333333333
"paul",2024-06-03 20:00:00,3,14.8475833333333
"paul",2024-06-03 20:00:00,3.5,12.50375
"paul",2024-06-03 20:00:00,4,10.6643333333333
"paul",2024-06-03 20:00:00,4.5,9.068025
"paul",2024-06-03 20:00:00,5,7.84369166666667
"paul",2024-06-03 20:00:00,6,6.50945833333333
"paul",2024-06-03 21:00:00,0.5,20.7456666666667
"paul",2024-06-03 21:00:00,1,20.2553333333333
"paul",2024-06-03 21:00:00,1.5,19.69175
"paul",2024-06-03 21:00:00,2,18.8294166666667
"paul",2024-06-03 21:00:00,2.5,17.37975
"paul",2024-06-03 21:00:00,3,14.869
"paul",2024-06-03 21:00:00,3.5,12.5354166666667
"paul",2024-06-03 21:00:00,4,10.6134166666667
"paul",2024-06-03 21:00:00,4.5,9.09431666666667
"paul",2024-06-03 21:00:00,5,7.98295
"paul",2024-06-03 21:00:00,6,6.469175
"paul",2024-06-03 22:00:00,0.5,20.6196666666667
"paul",2024-06-03 22:00:00,1,20.2656666666667
"paul",2024-06-03 22:00:00,1.5,19.6644166666667
"paul",2024-06-03 22:00:00,2,18.8019166666667
"paul",2024-06-03 22:00:00,2.5,17.3605833333333
"paul",2024-06-03 22:00:00,3,14.8895833333333
"paul",2024-06-03 22:00:00,3.5,12.4974166666667
"paul",2024-06-03 22:00:00,4,10.6435833333333
"paul",2024-06-03 22:00:00,4.5,8.99421666666667
"paul",2024-06-03 22:00:00,5,7.9417
"paul",2024-06-03 22:00:00,6,6.48526666666667
"paul",2024-06-03 23:00:00,0.5,20.52475
"paul",2024-06-03 23:00:00,1,20.273
"paul",2024-06-03 23:00:00,1.5,19.62075
"paul",2024-06-03 23:00:00,2,18.86075
"paul",2024-06-03 23:00:00,2.5,17.3390833333333
"paul",2024-06-03 23:00:00,3,14.8713333333333
"paul",2024-06-03 23:00:00,3.5,12.4608333333333
"paul",2024-06-03 23:00:00,4,10.6703333333333
"paul",2024-06-03 23:00:00,4.5,9.079625
"paul",2024-06-03 23:00:00,5,7.88815
"paul",2024-06-03 23:00:00,6,6.52628333333333
"paul",2024-06-04,0.5,20.4783636363636
"paul",2024-06-04,1,20.2677272727273
"paul",2024-06-04,1.5,19.6339090909091
"paul",2024-06-04,2,18.8528181818182
"paul",2024-06-04,2.5,17.3431818181818
"paul",2024-06-04,3,14.8630909090909
"paul",2024-06-04,3.5,12.5492727272727
"paul",2024-06-04,4,10.6446363636364
"paul",2024-06-04,4.5,9.01955454545454
"paul",2024-06-04,5,7.93103636363636
"paul",2024-06-04,6,6.48876363636364
"paul",2024-06-04 01:00:00,0.5,20.45025
"paul",2024-06-04 01:00:00,1,20.2595
"paul",2024-06-04 01:00:00,1.5,19.6294166666667
"paul",2024-06-04 01:00:00,2,18.872
"paul",2024-06-04 01:00:00,2.5,17.2575833333333
"paul",2024-06-04 01:00:00,3,14.9309166666667
"paul",2024-06-04 01:00:00,3.5,12.5083333333333
"paul",2024-06-04 01:00:00,4,10.59125
"paul",2024-06-04 01:00:00,4.5,9.07376666666667
"paul",2024-06-04 01:00:00,5,7.97411666666667
"paul",2024-06-04 01:00:00,6,6.489125
"paul",2024-06-04 02:00:00,0.5,20.3876666666667
"paul",2024-06-04 02:00:00,1,20.2321666666667
"paul",2024-06-04 02:00:00,1.5,19.6301666666667
"paul",2024-06-04 02:00:00,2,18.8483333333333
"paul",2024-06-04 02:00:00,2.5,17.3585833333333
"paul",2024-06-04 02:00:00,3,14.82575
"paul",2024-06-04 02:00:00,3.5,12.5033333333333
"paul",2024-06-04 02:00:00,4,10.6799166666667
"paul",2024-06-04 02:00:00,4.5,9.00465
"paul",2024-06-04 02:00:00,5,7.93515
"paul",2024-06-04 02:00:00,6,6.4986
"paul",2024-06-04 03:00:00,0.5,20.3364166666667
"paul",2024-06-04 03:00:00,1,20.2494166666667
"paul",2024-06-04 03:00:00,1.5,19.6295833333333
"paul",2024-06-04 03:00:00,2,18.8318333333333
"paul",2024-06-04 03:00:00,2.5,17.3593333333333
"paul",2024-06-04 03:00:00,3,14.8395
"paul",2024-06-04 03:00:00,3.5,12.5275
"paul",2024-06-04 03:00:00,4,10.6603333333333
"paul",2024-06-04 03:00:00,4.5,9.07544166666667
"paul",2024-06-04 03:00:00,5,7.89894166666667
"paul",2024-06-04 03:00:00,6,6.48578333333333
"paul",2024-06-04 04:00:00,0.5,20.2885
"paul",2024-06-04 04:00:00,1,20.2474166666667
"paul",2024-06-04 04:00:00,1.5,19.64125
"paul",2024-06-04 04:00:00,2,18.8146666666667
"paul",2024-06-04 04:00:00,2.5,17.3413333333333
"paul",2024-06-04 04:00:00,3,14.8835833333333
"paul",2024-06-04 04:00:00,3.5,12.512
"paul",2024-06-04 04:00:00,4,10.6081666666667
"paul",2024-06-04 04:00:00,4.5,9.04811666666667
"paul",2024-06-04 04:00:00,5,7.95654166666667
"paul",2024-06-04 04:00:00,6,6.53373333333333
"paul",2024-06-04 05:00:00,0.5,20.2538333333333
"paul",2024-06-04 05:00:00,1,20.2279166666667
"paul",2024-06-04 05:00:00,1.5,19.6505833333333
"paul",2024-06-04 05:00:00,2,18.80175
"paul",2024-06-04 05:00:00,2.5,17.36225
"paul",2024-06-04 05:00:00,3,14.8628333333333
"paul",2024-06-04 05:00:00,3.5,12.4984166666667
"paul",2024-06-04 05:00:00,4,10.6556666666667
"paul",2024-06-04 05:00:00,4.5,9.04481666666667
"paul",2024-06-04 05:00:00,5,7.943925
"paul",2024-06-04 05:00:00,6,6.43719166666667
"paul",2024-06-04 06:00:00,0.5,20.2588333333333
"paul",2024-06-04 06:00:00,1,20.1858333333333
"paul",2024-06-04 06:00:00,1.5,19.63575
"paul",2024-06-04 06:00:00,2,18.8381666666667
"paul",2024-06-04 06:00:00,2.5,17.31375
"paul",2024-06-04 06:00:00,3,14.89125
"paul",2024-06-04 06:00:00,3.5,12.488
"paul",2024-06-04 06:00:00,4,10.69575
"paul",2024-06-04 06:00:00,4.5,9.03385
"paul",2024-06-04 06:00:00,5,7.90428333333333
"paul",2024-06-04 06:00:00,6,6.50676666666667
"paul",2024-06-04 07:00:00,0.5,20.3341666666667
"paul",2024-06-04 07:00:00,1,20.1795833333333
"paul",2024-06-04 07:00:00,1.5,19.6981666666667
"paul",2024-06-04 07:00:00,2,18.8486666666667
"paul",2024-06-04 07:00:00,2.5,17.32575
"paul",2024-06-04 07:00:00,3,14.8910833333333
"paul",2024-06-04 07:00:00,3.5,12.5288333333333
"paul",2024-06-04 07:00:00,4,10.6191666666667
"paul",2024-06-04 07:00:00,4.5,9.0511
"paul",2024-06-04 07:00:00,5,7.94661666666667
"paul",2024-06-04 07:00:00,6,6.51799166666667
"paul",2024-06-04 08:00:00,0.5,20.35025
"paul",2024-06-04 08:00:00,1,20.1719166666667
"paul",2024-06-04 08:00:00,1.5,19.72875
"paul",2024-06-04 08:00:00,2,18.86175
"paul",2024-06-04 08:00:00,2.5,17.34275
"paul",2024-06-04 08:00:00,3,14.8878333333333
"paul",2024-06-04 08:00:00,3.5,12.5478333333333
"paul",2024-06-04 08:00:00,4,10.6588333333333
"paul",2024-06-04 08:00:00,4.5,9.053975
"paul",2024-06-04 08:00:00,5,7.93760833333333
"paul",2024-06-04 08:00:00,6,6.44995
"paul",2024-06-04 09:00:00,0.5,20.5088333333333
"paul",2024-06-04 09:00:00,1,20.2370833333333
"paul",2024-06-04 09:00:00,1.5,19.81375
"paul",2024-06-04 09:00:00,2,18.8581666666667
"paul",2024-06-04 09:00:00,2.5,17.3756666666667
"paul",2024-06-04 09:00:00,3,14.8863333333333
"paul",2024-06-04 09:00:00,3.5,12.4829166666667
"paul",2024-06-04 09:00:00,4,10.6325
"paul",2024-06-04 09:00:00,4.5,9.07114166666667
"paul",2024-06-04 09:00:00,5,7.91610833333333
"paul",2024-06-04 09:00:00,6,6.47371666666667
"paul",2024-06-04 10:00:00,0.5,20.7611666666667
"paul",2024-06-04 10:00:00,1,20.3825
"paul",2024-06-04 10:00:00,1.5,19.8820833333333
"paul",2024-06-04 10:00:00,2,18.9238333333333
"paul",2024-06-04 10:00:00,2.5,17.4430833333333
"paul",2024-06-04 10:00:00,3,14.9018333333333
"paul",2024-06-04 10:00:00,3.5,12.5739166666667
"paul",2024-06-04 10:00:00,4,10.6854166666667
"paul",2024-06-04 10:00:00,4.5,9.0818
"paul",2024-06-04 10:00:00,5,7.956475
"paul",2024-06-04 10:00:00,6,6.49605833333333
"paul",2024-06-04 11:00:00,0.5,20.9448333333333
"paul",2024-06-04 11:00:00,1,20.4800833333333
"paul",2024-06-04 11:00:00,1.5,20.0033333333333
"paul",2024-06-04 11:00:00,2,18.9725
"paul",2024-06-04 11:00:00,2.5,17.4015833333333
"paul",2024-06-04 11:00:00,3,14.9984166666667
"paul",2024-06-04 11:00:00,3.5,12.53675
"paul",2024-06-04 11:00:00,4,10.7158333333333
"paul",2024-06-04 11:00:00,4.5,9.06836666666667
"paul",2024-06-04 11:00:00,5,7.94548333333333
"paul",2024-06-04 11:00:00,6,6.5263
"paul",2024-06-04 12:00:00,0.5,21.1756666666667
"paul",2024-06-04 12:00:00,1,20.7019166666667
"paul",2024-06-04 12:00:00,1.5,19.95275
"paul",2024-06-04 12:00:00,2,19.1396666666667
"paul",2024-06-04 12:00:00,2.5,17.49875
"paul",2024-06-04 12:00:00,3,14.95725
"paul",2024-06-04 12:00:00,3.5,12.5878333333333
"paul",2024-06-04 12:00:00,4,10.7666666666667
"paul",2024-06-04 12:00:00,4.5,9.10221666666667
"paul",2024-06-04 12:00:00,5,7.994675
"paul",2024-06-04 12:00:00,6,6.49954166666667
"paul",2024-06-04 13:00:00,0.5,21.5465833333333
"paul",2024-06-04 13:00:00,1,20.8521666666667
"paul",2024-06-04 13:00:00,1.5,20.1291666666667
"paul",2024-06-04 13:00:00,2,19.0810833333333
"paul",2024-06-04 13:00:00,2.5,17.5073333333333
"paul",2024-06-04 13:00:00,3,15.00775
"paul",2024-06-04 13:00:00,3.5,12.6395833333333
"paul",2024-06-04 13:00:00,4,10.7545
"paul",2024-06-04 13:00:00,4.5,9.14305
"paul",2024-06-04 13:00:00,5,7.98870833333333
"paul",2024-06-04 13:00:00,6,6.536975
"paul",2024-06-04 14:00:00,0.5,21.7873333333333
"paul",2024-06-04 14:00:00,1,20.9748333333333
"paul",2024-06-04 14:00:00,1.5,20.1403333333333
"paul",2024-06-04 14:00:00,2,19.2253333333333
"paul",2024-06-04 14:00:00,2.5,17.5679166666667
"paul",2024-06-04 14:00:00,3,15.024
"paul",2024-06-04 14:00:00,3.5,12.70025
"paul",2024-06-04 14:00:00,4,10.71625
"paul",2024-06-04 14:00:00,4.5,9.119225
"paul",2024-06-04 14:00:00,5,8.028625
"paul",2024-06-04 14:00:00,6,6.53791666666667
"paul",2024-06-04 15:00:00,0.5,22.1385833333333
"paul",2024-06-04 15:00:00,1,21.0695833333333
"paul",2024-06-04 15:00:00,1.5,20.2228333333333
"paul",2024-06-04 15:00:00,2,19.2070833333333
"paul",2024-06-04 15:00:00,2.5,17.5455833333333
"paul",2024-06-04 15:00:00,3,15.088
"paul",2024-06-04 15:00:00,3.5,12.6865833333333
"paul",2024-06-04 15:00:00,4,10.8080833333333
"paul",2024-06-04 15:00:00,4.5,9.17791666666667
"paul",2024-06-04 15:00:00,5,7.94255
"paul",2024-06-04 15:00:00,6,6.52355833333333
"paul",2024-06-04 16:00:00,0.5,22.09525
"paul",2024-06-04 16:00:00,1,21.10675
"paul",2024-06-04 16:00:00,1.5,20.244
"paul",2024-06-04 16:00:00,2,19.2009166666667
"paul",2024-06-04 16:00:00,2.5,17.64725
"paul",2024-06-04 16:00:00,3,15.0344166666667
"paul",2024-06-04 16:00:00,3.5,12.6181666666667
"paul",2024-06-04 16:00:00,4,10.6739166666667
"paul",2024-06-04 16:00:00,4.5,9.15436666666667
"paul",2024-06-04 16:00:00,5,8.07006666666667
"paul",2024-06-04 16:00:00,6,6.58881666666667
"paul",2024-06-04 17:00:00,0.5,22.2410833333333
"paul",2024-06-04 17:00:00,1,21.1270833333333
"paul",2024-06-04 17:00:00,1.5,20.2371666666667
"paul",2024-06-04 17:00:00,2,19.2276666666667
"paul",2024-06-04 17:00:00,2.5,17.5034166666667
"paul",2024-06-04 17:00:00,3,15.1539166666667
"paul",2024-06-04 17:00:00,3.5,12.7308333333333
"paul",2024-06-04 17:00:00,4,10.8601666666667
"paul",2024-06-04 17:00:00,4.5,9.1802
"paul",2024-06-04 17:00:00,5,7.944
"paul",2024-06-04 17:00:00,6,6.48619166666667
"paul",2024-06-04 18:00:00,0.5,22.2039166666667
"paul",2024-06-04 18:00:00,1,21.1384166666667
"paul",2024-06-04 18:00:00,1.5,20.2148333333333
"paul",2024-06-04 18:00:00,2,19.2715
"paul",2024-06-04 18:00:00,2.5,17.6201666666667
"paul",2024-06-04 18:00:00,3,15.0255833333333
"paul",2024-06-04 18:00:00,3.5,12.6965833333333
"paul",2024-06-04 18:00:00,4,10.7203333333333
"paul",2024-06-04 18:00:00,4.5,9.139425
"paul",2024-06-04 18:00:00,5,8.0414
"paul",2024-06-04 18:00:00,6,6.64601666666667
"paul",2024-06-04 19:00:00,0.5,22.2728333333333
"paul",2024-06-04 19:00:00,1,21.1338333333333
"paul",2024-06-04 19:00:00,1.5,20.2410833333333
"paul",2024-06-04 19:00:00,2,19.2665833333333
"paul",2024-06-04 19:00:00,2.5,17.56475
"paul",2024-06-04 19:00:00,3,15.1104166666667
"paul",2024-06-04 19:00:00,3.5,12.62475
"paul",2024-06-04 19:00:00,4,10.7869166666667
"paul",2024-06-04 19:00:00,4.5,9.22554166666667
"paul",2024-06-04 19:00:00,5,8.05365833333333
"paul",2024-06-04 19:00:00,6,6.48915833333333
"paul",2024-06-04 20:00:00,0.5,22.23625
"paul",2024-06-04 20:00:00,1,21.1304166666667
"paul",2024-06-04 20:00:00,1.5,20.2461666666667
"paul",2024-06-04 20:00:00,2,19.2185833333333
"paul",2024-06-04 20:00:00,2.5,17.56625
"paul",2024-06-04 20:00:00,3,15.04875
