"lake","datetime","depth","observation","variable","unit","depth_id"
"peter",2022-05-30 09:00:00,1,4.504,"doc","MilliGM-PER-L","epi"
"peter",2022-05-30 09:00:00,4,4.451,"doc","MilliGM-PER-L","meta"
"peter",2022-05-30 14:00:00,0,9.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,0.5,9,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,1,9.4,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,1.5,9.3,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,2,10,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,2.5,12.4,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,3,13.6,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,3.5,13.7,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,4,11.8,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,4.5,3,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,5,1.3,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,5.5,0.8,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,6,0.4,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,6.5,0.2,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,7,0.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,8,0.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,9,0.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,10,0.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,11,0.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-05-30 14:00:00,12,0.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,0,8.65,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,0.5,8.64,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,1,8.51,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,1.5,9.16,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,2,10.99,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,2.5,12.69,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,3,13.09,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,3.25,13.08,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,3.5,12.8,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,3.75,12.52,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,4,11.4,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,4.25,6.12,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,4.5,2.05,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,4.75,1.55,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,5,1.27,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,5.25,1.1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,5.5,0.99,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,5.75,0.93,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,6,0.91,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,6.5,0.79,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,7,0.76,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,7.5,0.75,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-02 08:00:00,8,0.75,"do_mgl","MilliGM-PER-L",NA
NA,2022-06-02 09:00:00,0,18.81,"wtemp","degC",NA
NA,2022-06-02 09:00:00,0.5,18.82,"wtemp","degC",NA
NA,2022-06-02 09:00:00,1,18.7,"wtemp","degC",NA
NA,2022-06-02 09:00:00,1.5,17.2,"wtemp","degC",NA
NA,2022-06-02 09:00:00,2,13.48,"wtemp","degC",NA
NA,2022-06-02 09:00:00,2.5,9.96,"wtemp","degC",NA
NA,2022-06-02 09:00:00,3,7.46,"wtemp","degC",NA
NA,2022-06-02 09:00:00,3.25,6.38,"wtemp","degC",NA
NA,2022-06-02 09:00:00,3.5,5.96,"wtemp","degC",NA
NA,2022-06-02 09:00:00,3.75,5.73,"wtemp","degC",NA
NA,2022-06-02 09:00:00,4,5.48,"wtemp","degC",NA
NA,2022-06-02 09:00:00,4.25,4.99,"wtemp","degC",NA
NA,2022-06-02 09:00:00,4.5,4.76,"wtemp","degC",NA
NA,2022-06-02 09:00:00,4.75,4.74,"wtemp","degC",NA
NA,2022-06-02 09:00:00,5,4.71,"wtemp","degC",NA
NA,2022-06-02 09:00:00,5.25,4.7,"wtemp","degC",NA
NA,2022-06-02 09:00:00,5.5,4.68,"wtemp","degC",NA
NA,2022-06-02 09:00:00,5.75,4.68,"wtemp","degC",NA
NA,2022-06-02 09:00:00,6,4.66,"wtemp","degC",NA
NA,2022-06-02 09:00:00,6.5,4.58,"wtemp","degC",NA
NA,2022-06-02 09:00:00,7,4.58,"wtemp","degC",NA
NA,2022-06-02 09:00:00,7.5,4.44,"wtemp","degC",NA
NA,2022-06-02 09:00:00,8,4.35,"wtemp","degC",NA
"peter",2022-06-03 10:00:00,0,8.29,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,0.5,8.37,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,1,8.33,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,1.5,8.84,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,2,10.52,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,2.5,12.46,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,3,12.89,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,3.25,12.82,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,3.5,12.64,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,3.75,12.09,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,4,6.85,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,4.25,3.22,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,4.5,1.36,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,4.75,1.04,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,5,1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,5.25,1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,5.5,0.98,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,5.75,1,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,6,0.8,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,6.5,0.71,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,7,0.7,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,7.5,0.7,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-03 10:00:00,8,0.7,"do_mgl","MilliGM-PER-L",NA
NA,2022-06-03 11:00:00,0,18.22,"wtemp","degC",NA
NA,2022-06-03 11:00:00,0.5,18.26,"wtemp","degC",NA
NA,2022-06-03 11:00:00,1,18.25,"wtemp","degC",NA
NA,2022-06-03 11:00:00,1.5,17.76,"wtemp","degC",NA
NA,2022-06-03 11:00:00,2,13.96,"wtemp","degC",NA
NA,2022-06-03 11:00:00,2.5,10.67,"wtemp","degC",NA
NA,2022-06-03 11:00:00,3,7.85,"wtemp","degC",NA
NA,2022-06-03 11:00:00,3.25,6.92,"wtemp","degC",NA
NA,2022-06-03 11:00:00,3.5,6.6,"wtemp","degC",NA
NA,2022-06-03 11:00:00,3.75,5.55,"wtemp","degC",NA
NA,2022-06-03 11:00:00,4,5.3,"wtemp","degC",NA
NA,2022-06-03 11:00:00,4.25,4.96,"wtemp","degC",NA
NA,2022-06-03 11:00:00,4.5,4.74,"wtemp","degC",NA
NA,2022-06-03 11:00:00,4.75,4.73,"wtemp","degC",NA
NA,2022-06-03 11:00:00,5,4.71,"wtemp","degC",NA
NA,2022-06-03 11:00:00,5.25,4.72,"wtemp","degC",NA
NA,2022-06-03 11:00:00,5.5,4.72,"wtemp","degC",NA
NA,2022-06-03 11:00:00,5.75,4.68,"wtemp","degC",NA
NA,2022-06-03 11:00:00,6,4.65,"wtemp","degC",NA
NA,2022-06-03 11:00:00,6.5,4.62,"wtemp","degC",NA
NA,2022-06-03 11:00:00,7,4.57,"wtemp","degC",NA
NA,2022-06-03 11:00:00,7.5,4.38,"wtemp","degC",NA
NA,2022-06-03 11:00:00,8,4.36,"wtemp","degC",NA
"peter",2022-06-04 08:00:00,0,8.69,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,0.5,8.68,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,1,8.69,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,1.5,8.64,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,2,10.55,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,2.5,12.07,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,3,12.82,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,3.25,12.99,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,3.5,12.67,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,3.75,12.4,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,4,10.42,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,4.25,9.02,"do_mgl","MilliGM-PER-L",NA
"peter",2022-06-04 08:00:00,4.5,4.12,"do_mgl","MilliGM-PER-L",NA
