"","datetime","lake","depth","depth_id","variable","unit","observation"
"1",2024-08-05 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",4.636
"2",2024-08-05 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.816
"3",2024-08-05 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",6.478
"4",2024-08-19 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",5.0425
"5",2024-08-19 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.848
"6",2024-08-19 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",5.8985
"7",2024-08-12 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",4.8
"8",2024-08-12 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.414
"9",2024-08-12 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",6.029
"10",2024-07-08 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",4.634
"11",2024-07-08 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.312
"12",2024-07-08 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",5.221
"13",2024-07-29 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",5.012
"14",2024-07-29 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.645
"15",2024-07-29 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",6.379
"16",2024-07-22 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",4.751
"17",2024-07-22 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.508
"18",2024-07-22 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",6.018
"19",2024-07-15 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",4.677
"20",2024-07-15 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.683
"21",2024-07-15 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",6.348
"22",2024-07-01 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",4.803
"23",2024-07-01 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.454
"24",2024-07-01 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",5.099
"25",2024-06-03 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",5.062
"26",2024-06-03 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.541
"27",2024-06-24 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",5.046
"28",2024-06-24 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.6775
"29",2024-06-17 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.662
"30",2024-06-10 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",5.068
"31",2024-06-10 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",5.028
"32",2024-06-10 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",5.032
"33",2024-05-27 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",5.201
"34",2024-05-27 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",5.091
"35",2024-05-27 09:00:00,"peter",1,"epi","doc","MilliGM-PER-L",5.181
"36",2024-05-20 09:00:00,"peter",12,"hypo","doc","MilliGM-PER-L",5.416
"37",2024-05-20 09:00:00,"peter",4,"meta","doc","MilliGM-PER-L",4.935
