"","datetime","lake","depth","unit","variable","observation"
"1",2024-06-10 17:46:00,"peter",0,"MilliGM-PER-L","dissolvedOxygen",9.28
"2",2024-06-10 17:46:00,"peter",0.25,"MilliGM-PER-L","dissolvedOxygen",9.27
"3",2024-06-10 17:47:00,"peter",0.5,"MilliGM-PER-L","dissolvedOxygen",9.37
"4",2024-06-10 17:47:00,"peter",0.75,"MilliGM-PER-L","dissolvedOxygen",9.53
"5",2024-06-10 17:48:00,"peter",1,"MilliGM-PER-L","dissolvedOxygen",9.35
"6",2024-06-10 17:48:00,"peter",1.25,"MilliGM-PER-L","dissolvedOxygen",9.19
"7",2024-06-10 17:49:00,"peter",1.5,"MilliGM-PER-L","dissolvedOxygen",9.22
"8",2024-06-10 17:49:00,"peter",1.75,"MilliGM-PER-L","dissolvedOxygen",9.16
"9",2024-06-10 17:50:00,"peter",2,"MilliGM-PER-L","dissolvedOxygen",9.17
"10",2024-06-10 17:50:00,"peter",2.25,"MilliGM-PER-L","dissolvedOxygen",9.46
"11",2024-06-10 17:51:00,"peter",2.5,"MilliGM-PER-L","dissolvedOxygen",10.33
"12",2024-06-10 17:51:00,"peter",2.75,"MilliGM-PER-L","dissolvedOxygen",11.22
"13",2024-06-10 17:52:00,"peter",3,"MilliGM-PER-L","dissolvedOxygen",12.04
"14",2024-06-10 17:52:00,"peter",3.25,"MilliGM-PER-L","dissolvedOxygen",12.52
"15",2024-06-10 17:53:00,"peter",3.5,"MilliGM-PER-L","dissolvedOxygen",12.72
"16",2024-06-10 17:53:00,"peter",3.75,"MilliGM-PER-L","dissolvedOxygen",12.84
"17",2024-06-10 17:54:00,"peter",4,"MilliGM-PER-L","dissolvedOxygen",13.4
"18",2024-06-10 17:54:00,"peter",4.25,"MilliGM-PER-L","dissolvedOxygen",14.22
"19",2024-06-10 17:55:00,"peter",4.5,"MilliGM-PER-L","dissolvedOxygen",14.13
"20",2024-06-10 17:55:00,"peter",4.75,"MilliGM-PER-L","dissolvedOxygen",12.6
"21",2024-06-10 17:56:00,"peter",5,"MilliGM-PER-L","dissolvedOxygen",11.32
"22",2024-06-10 17:56:00,"peter",5.25,"MilliGM-PER-L","dissolvedOxygen",10.61
"23",2024-06-10 17:57:00,"peter",5.5,"MilliGM-PER-L","dissolvedOxygen",8.49
"24",2024-06-10 17:57:00,"peter",5.75,"MilliGM-PER-L","dissolvedOxygen",6.17
"25",2024-06-10 17:58:00,"peter",6,"MilliGM-PER-L","dissolvedOxygen",2.9
"26",2024-06-10 17:58:00,"peter",6.25,"MilliGM-PER-L","dissolvedOxygen",0.73
"27",2024-06-10 17:59:00,"peter",6.5,"MilliGM-PER-L","dissolvedOxygen",0.14
