"","datetime","lake","depth","depth_id","variable","unit","observation"
"1",2024-05-20 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",14.157
"2",2024-05-20 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.369
"3",2024-05-20 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",153.074
"4",2024-05-27 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",11.213
"5",2024-05-27 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",24.469
"6",2024-05-27 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",140.992
"7",2024-06-03 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",11.744
"8",2024-06-03 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",18.736
"9",2024-06-03 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",156.377
"10",2024-06-10 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",10.441
"11",2024-06-10 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",17.994
"12",2024-06-10 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",171.328
"13",2024-06-17 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.35
"14",2024-06-17 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",20.872
"15",2024-06-17 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",160.613
"16",2024-06-24 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",58.261
"17",2024-06-24 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",18.836
"18",2024-06-24 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",151.512
"19",2024-07-01 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",20.1
"20",2024-07-01 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",17.938
"21",2024-07-01 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",209.252
"22",2024-07-08 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.926
"23",2024-07-08 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.533
"24",2024-07-08 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",207.835
"25",2024-07-15 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.452
"26",2024-07-15 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",19.346
"27",2024-07-15 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",143.369
"28",2024-07-22 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",28.547
"29",2024-07-22 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",22.642
"30",2024-07-22 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",228.73
"31",2024-07-29 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",21.768
"32",2024-07-29 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",24.198
"33",2024-07-29 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",211.409
"34",2024-08-05 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",23.166
"35",2024-08-05 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",22.697
"36",2024-08-05 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",171.062
"37",2024-08-12 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",8.612
"38",2024-08-12 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",24.251
"39",2024-08-12 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",184.787
"40",2024-08-19 09:00:00,"peter",1,"epi","TP","MicroGM-PER-L",25.402
"41",2024-08-19 09:00:00,"peter",4,"meta","TP","MicroGM-PER-L",26.06
"42",2024-08-19 09:00:00,"peter",12,"hypo","TP","MicroGM-PER-L",265.963
