"Depth_meter","Water_Temperature_celsius","datetime"
0,21.2,2024-06-10 18:00:00
0.25,21.17,2024-06-10 18:00:00
0.5,20.94,2024-06-10 18:00:00
0.75,19.97,2024-06-10 18:00:00
1,19.11,2024-06-10 18:00:00
1.25,18.62,2024-06-10 18:00:00
1.5,18.21,2024-06-10 18:00:00
1.75,18.02,2024-06-10 18:00:00
2,17.86,2024-06-10 18:00:00
2.25,17.47,2024-06-10 18:00:00
2.5,15.5,2024-06-10 18:00:00
2.75,13.92,2024-06-10 18:00:00
3,12.4,2024-06-10 18:00:00
3.25,11.15,2024-06-10 18:00:00
3.5,10.4,2024-06-10 18:00:00
3.75,9.18,2024-06-10 18:00:00
4,8.15,2024-06-10 18:00:00
4.25,7.4,2024-06-10 18:00:00
4.5,6.91,2024-06-10 18:00:00
4.75,6.37,2024-06-10 18:00:00
5,5.94,2024-06-10 18:00:00
5.25,5.47,2024-06-10 18:00:00
5.5,5.23,2024-06-10 18:00:00
5.75,4.97,2024-06-10 18:00:00
6,4.72,2024-06-10 18:00:00
6.25,4.62,2024-06-10 18:00:00
6.5,4.66,2024-06-10 18:00:00
6.75,4.64,2024-06-10 18:00:00
7,4.63,2024-06-10 18:00:00
7.5,4.59,2024-06-10 18:00:00
8,4.51,2024-06-10 18:00:00
0,21.49,2024-06-13 14:00:00
0.25,21.37,2024-06-13 15:00:00
0.5,20.55,2024-06-13 15:00:00
0.75,19.88,2024-06-13 15:00:00
1,18.89,2024-06-13 15:00:00
1.25,18.27,2024-06-13 15:00:00
1.5,18.07,2024-06-13 15:00:00
1.75,17.76,2024-06-13 15:00:00
2,17.37,2024-06-13 15:00:00
2.25,16.44,2024-06-13 15:00:00
2.5,14.58,2024-06-13 15:00:00
2.75,13.56,2024-06-13 15:00:00
3,11.04,2024-06-13 15:00:00
3.25,9.76,2024-06-13 15:00:00
3.5,8.75,2024-06-13 15:00:00
3.75,7.98,2024-06-13 15:00:00
4,7.29,2024-06-13 15:00:00
4.25,6.65,2024-06-13 15:00:00
4.5,6.2,2024-06-13 15:00:00
4.75,5.73,2024-06-13 15:00:00
5,5.36,2024-06-13 15:00:00
5.25,5.07,2024-06-13 15:00:00
5.5,4.77,2024-06-13 15:00:00
5.75,4.73,2024-06-13 15:00:00
6,4.73,2024-06-13 15:00:00
6.25,4.72,2024-06-13 15:00:00
6.5,4.7,2024-06-13 15:00:00
6.75,4.71,2024-06-13 15:00:00
7,4.69,2024-06-13 15:00:00
7.5,4.63,2024-06-13 15:00:00
8,5.98,2024-06-13 15:00:00
0,23.21,2024-06-14 15:00:00
0.25,23.11,2024-06-14 15:00:00
0.5,22.73,2024-06-14 15:00:00
0.75,21.09,2024-06-14 15:00:00
1,20.4,2024-06-14 15:00:00
1.25,19.79,2024-06-14 15:00:00
1.5,19.26,2024-06-14 15:00:00
1.75,18.72,2024-06-14 15:00:00
2,18.21,2024-06-14 15:00:00
2.25,17.59,2024-06-14 15:00:00
2.5,15.65,2024-06-14 15:00:00
2.75,14.23,2024-06-14 15:00:00
3,12.9,2024-06-14 15:00:00
3.25,11.51,2024-06-14 15:00:00
3.5,10.03,2024-06-14 15:00:00
3.75,9.02,2024-06-14 15:00:00
4,7.96,2024-06-14 15:00:00
4.25,7.34,2024-06-14 15:00:00
4.5,6.91,2024-06-14 15:00:00
4.75,6.52,2024-06-14 15:00:00
5,6.2,2024-06-14 15:00:00
5.25,5.72,2024-06-14 15:00:00
5.5,5.37,2024-06-14 15:00:00
5.75,5.01,2024-06-14 15:00:00
6,4.81,2024-06-14 15:00:00
6.25,4.71,2024-06-14 15:00:00
6.5,4.72,2024-06-14 15:00:00
6.75,4.74,2024-06-14 15:00:00
7,4.7,2024-06-14 15:00:00
7.5,4.58,2024-06-14 15:00:00
8,4.53,2024-06-14 15:00:00
0,24.03,2024-06-18 16:00:00
0.25,23.99,2024-06-18 16:00:00
0.5,23.79,2024-06-18 16:00:00
0.75,22.02,2024-06-18 16:00:00
1,21.55,2024-06-18 16:00:00
1.25,20.77,2024-06-18 16:00:00
1.5,20.56,2024-06-18 16:00:00
1.75,19.98,2024-06-18 16:00:00
2,19.03,2024-06-18 16:00:00
2.25,17.97,2024-06-18 16:00:00
2.5,16.23,2024-06-18 16:00:00
2.75,14.83,2024-06-18 16:00:00
3,13.53,2024-06-18 16:00:00
3.25,12.28,2024-06-18 16:00:00
3.5,10.22,2024-06-18 16:00:00
3.75,9.2,2024-06-18 16:00:00
4,8.24,2024-06-18 16:00:00
4.25,7.64,2024-06-18 16:00:00
4.5,6.95,2024-06-18 16:00:00
4.75,6.42,2024-06-18 16:00:00
5,6.04,2024-06-18 16:00:00
5.25,5.67,2024-06-18 16:00:00
5.5,5.22,2024-06-18 16:00:00
5.75,4.93,2024-06-18 16:00:00
6,4.8,2024-06-18 16:00:00
6.25,4.8,2024-06-18 16:00:00
6.5,4.78,2024-06-18 16:00:00
6.75,4.76,2024-06-18 16:00:00
7,4.69,2024-06-18 16:00:00
7.5,4.63,2024-06-18 16:00:00
8,4.58,2024-06-18 16:00:00
9,4.44,2024-06-18 16:00:00
0,22.33,2024-06-20 16:00:00
0.25,22.35,2024-06-20 16:00:00
0.5,22.35,2024-06-20 16:00:00
0.75,22.35,2024-06-20 16:00:00
1,22.35,2024-06-20 16:00:00
1.25,22.34,2024-06-20 16:00:00
1.5,21.21,2024-06-20 16:00:00
1.75,20.28,2024-06-20 16:00:00
2,19.34,2024-06-20 16:00:00
2.25,18.1,2024-06-20 16:00:00
2.5,16.61,2024-06-20 16:00:00
2.75,14.97,2024-06-20 16:00:00
3,13.58,2024-06-20 16:00:00
3.25,12.05,2024-06-20 16:00:00
3.5,10.85,2024-06-20 16:00:00
3.75,9.65,2024-06-20 16:00:00
4,8.78,2024-06-20 16:00:00
4.25,8.07,2024-06-20 16:00:00
4.5,7.42,2024-06-20 16:00:00
4.75,6.93,2024-06-20 16:00:00
5,6.36,2024-06-20 16:00:00
5.25,5.86,2024-06-20 16:00:00
5.5,5.46,2024-06-20 17:00:00
5.75,5,2024-06-20 17:00:00
6,4.88,2024-06-20 17:00:00
6.25,4.86,2024-06-20 17:00:00
6.5,4.85,2024-06-20 17:00:00
6.75,4.83,2024-06-20 17:00:00
7,4.74,2024-06-20 17:00:00
7.5,4.67,2024-06-20 17:00:00
8,4.58,2024-06-20 17:00:00
12,4.5,2024-06-20 17:00:00
0,21.39,2024-06-21 16:00:00
0.25,21.38,2024-06-21 16:00:00
0.5,21.31,2024-06-21 16:00:00
0.75,21.18,2024-06-21 16:00:00
1,21.12,2024-06-21 16:00:00
1.25,21.06,2024-06-21 16:00:00
1.5,20.96,2024-06-21 16:00:00
1.75,20.34,2024-06-21 16:00:00
2,19.6,2024-06-21 16:00:00
2.25,17.91,2024-06-21 16:00:00
2.5,16.79,2024-06-21 16:00:00
2.75,15.04,2024-06-21 16:00:00
3,13.43,2024-06-21 16:00:00
3.25,12.14,2024-06-21 16:00:00
3.5,10.91,2024-06-21 16:00:00
3.75,9.73,2024-06-21 16:00:00
4,8.56,2024-06-21 16:00:00
4.25,8.02,2024-06-21 16:00:00
4.5,7.37,2024-06-21 16:00:00
4.75,7,2024-06-21 16:00:00
5,6.48,2024-06-21 16:00:00
5.25,6.02,2024-06-21 16:00:00
5.5,5.42,2024-06-21 16:00:00
5.75,5,2024-06-21 16:00:00
6,4.9,2024-06-21 16:00:00
6.25,4.9,2024-06-21 16:00:00
6.5,4.87,2024-06-21 16:00:00
6.75,4.82,2024-06-21 16:00:00
7,4.77,2024-06-21 16:00:00
7.5,4.65,2024-06-21 16:00:00
8,4.59,2024-06-21 16:00:00
0,23.95,2024-06-24 15:00:00
0.25,23.94,2024-06-24 15:00:00
0.5,23.1,2024-06-24 15:00:00
0.75,22.29,2024-06-24 15:00:00
1,21.39,2024-06-24 15:00:00
1.25,20.67,2024-06-24 15:00:00
1.5,20.46,2024-06-24 15:00:00
1.75,20.04,2024-06-24 15:00:00
2,19.49,2024-06-24 15:00:00
2.25,18.4,2024-06-24 15:00:00
2.5,16.99,2024-06-24 15:00:00
2.75,15.19,2024-06-24 15:00:00
3,13.98,2024-06-24 15:00:00
3.25,12.1,2024-06-24 15:00:00
3.5,10.89,2024-06-24 15:00:00
3.75,9.54,2024-06-24 15:00:00
4,8.55,2024-06-24 15:00:00
4.25,7.71,2024-06-24 15:00:00
4.5,7.11,2024-06-24 15:00:00
4.75,6.18,2024-06-24 15:00:00
5,5.8,2024-06-24 15:00:00
5.25,5.23,2024-06-24 15:00:00
5.5,5.1,2024-06-24 15:00:00
5.75,5.01,2024-06-24 15:00:00
6,4.99,2024-06-24 15:00:00
6.25,4.95,2024-06-24 15:00:00
6.5,4.87,2024-06-24 15:00:00
6.75,4.82,2024-06-24 15:00:00
7,4.77,2024-06-24 15:00:00
7.5,4.64,2024-06-24 15:00:00
8,4.59,2024-06-24 15:00:00
0,22.86,2024-06-26 15:00:00
0.25,22.9,2024-06-26 15:00:00
0.5,22.9,2024-06-26 15:00:00
0.75,22.85,2024-06-26 15:00:00
1,22.75,2024-06-26 15:00:00
1.25,21.94,2024-06-26 15:00:00
1.5,21.52,2024-06-26 15:00:00
1.75,20.35,2024-06-26 15:00:00
2,19.71,2024-06-26 15:00:00
2.25,18.73,2024-06-26 15:00:00
2.5,16.88,2024-06-26 15:00:00
2.75,15.3,2024-06-26 15:00:00
3,13.4,2024-06-26 15:00:00
3.25,11.86,2024-06-26 15:00:00
3.5,11,2024-06-26 15:00:00
3.75,9.99,2024-06-26 15:00:00
4,9.29,2024-06-26 15:00:00
4.25,8.15,2024-06-26 15:00:00
4.5,7.5,2024-06-26 15:00:00
4.75,6.98,2024-06-26 15:00:00
5,6.41,2024-06-26 15:00:00
5.25,5.9,2024-06-26 15:00:00
5.5,5.47,2024-06-26 15:00:00
5.75,5.19,2024-06-26 15:00:00
6,5.05,2024-06-26 15:00:00
6.25,4.96,2024-06-26 15:00:00
6.5,4.84,2024-06-26 15:00:00
6.75,4.78,2024-06-26 15:00:00
7,4.73,2024-06-26 15:00:00
7.5,4.64,2024-06-26 15:00:00
8,4.56,2024-06-26 15:00:00
0,20.83,2024-06-28 15:00:00
0.25,20.85,2024-06-28 15:00:00
0.5,20.86,2024-06-28 15:00:00
